d_0011,infusion drotrecogin alfa activated
d_7211,cervical spondylosis myelopathy
d_7212,thoracic spondylosis myelopathy
d_7213,lumbosacral spondylosis myelopathy
d_7218,allied disorders spine
d_72190,spondylosis unspecified site mention myelopathy
d_7220,displacement cervical intervertebral disc myelopathy
d_72210,displacement lumbar intervertebral disc myelopathy
d_7224,degeneration cervical intervertebral disc
d_72252,degeneration lumbar lumbosacral intervertebral disc
d_7226,degeneration intervertebral disc site unspecified
d_72271,intervertebral disc disorder myelopathy cervical region
d_72272,intervertebral disc disorder myelopathy thoracic region
d_72273,intervertebral disc disorder myelopathy lumbar region
d_72290,unspecified disc disorder unspecified region
d_72291,unspecified disc disorder cervical region
d_72292,unspecified disc disorder thoracic region
d_72293,unspecified disc disorder lumbar region
d_7230,spinal stenosis cervical region
d_7231,cervicalgia
d_7234,brachial neuritis radiculitis nos
d_7235,torticollis unspecified
d_72400,spinal stenosis unspecified region
d_72401,spinal stenosis thoracic region
d_72402,spinal stenosis lumbar region neurogenic claudication
d_7242,lumbago
d_7243,sciatica
d_7244,thoracic lumbosacral neuritis radiculitis unspecified
d_7245,backache unspecified
d_7248,symptoms referable back
d_7249,unspecified back disorders
d_725,polymyalgia rheumatica
d_7260,adhesive capsulitis shoulder
d_72610,disorders bursae tendons shoulder region unspecified
d_72633,olecranon bursitis
d_7265,enthesopathy hip region
d_72700,synovitis tenosynovitis unspecified
d_72705,tenosynovitis hand wrist
d_72751,synovial cyst popliteal space
d_72761,complete rupture rotator cuff
d_7280,infective myositis
d_7282,muscular wasting disuse atrophy elsewhere
d_72871,plantar fascial fibromatosis
d_72885,spasm muscle
d_72886,necrotizing fasciitis
d_72887,muscle weakness generalized
d_72888,rhabdomyolysis
d_72889,disorders muscle ligament fascia
d_7289,unspecified disorder muscle ligament fascia
d_7291,myalgia myositis unspecified
d_7292,neuralgia neuritis radiculitis unspecified
d_72939,panniculitis site
d_7295,pain limb
d_7296,residual foreign body soft tissue
d_72972,nontraumatic compartment syndrome lower extremity
d_72973,nontraumatic compartment syndrome abdomen
d_72981,swelling limb
d_72989,musculoskeletal symptoms referable limbs
d_72992,nontraumatic hematoma soft tissue
d_73005,acute osteomyelitis pelvic region thigh
d_73007,acute osteomyelitis ankle foot
d_73008,acute osteomyelitis specified sites
d_73012,chronic osteomyelitis upper arm
d_73015,chronic osteomyelitis pelvic region thigh
d_73016,chronic osteomyelitis lower leg
d_73017,chronic osteomyelitis ankle foot
d_73018,chronic osteomyelitis specified sites
d_73025,unspecified osteomyelitis pelvic region thigh
d_73027,unspecified osteomyelitis ankle foot
d_73028,unspecified osteomyelitis specified sites
d_7310,osteitis deformans mention bone tumor
d_7313,major osseous defects
d_7318,bone involvement diseases elsewhere
d_73300,osteoporosis unspecified
d_73309,osteoporosis
d_73311,pathologic fracture humerus
d_73313,pathologic fracture vertebrae
d_73314,pathologic fracture neck femur
d_73319,pathologic fracture specified site
d_73342,aseptic necrosis head neck femur
d_73349,aseptic necrosis bone
d_7336,tietzes disease
d_73382,nonunion fracture
d_73390,disorder bone cartilage unspecified
d_73399,disorders bone cartilage
d_7354,hammer toe acquired
d_73679,acquired deformities ankle foot
d_73710,kyphosis acquired postural
d_73712,kyphosis postlaminectomy
d_73719,kyphosis acquired
d_73730,scoliosis kyphoscoliosis idiopathic
d_73734,thoracogenic scoliosis
d_73739,kyphoscoliosis scoliosis
d_73741,kyphosis associated conditions
d_73743,scoliosis associated conditions
d_73819,specified acquired deformity head
d_7384,acquired spondylolisthesis
d_7385,acquired deformity back spine
d_74190,spina bifida mention hydrocephalus unspecified regio
d_7421,microcephalus
d_7423,congenital hydrocephalus
d_74510,complete transposition great vessels
d_7454,ventricular septal defect
d_7455,ostium secundum type atrial septal defect
d_74602,stenosis pulmonary valve congenital
d_74609,congenital anomalies pulmonary valve
d_7462,ebsteins anomaly
d_7463,congenital stenosis aortic valve
d_7464,congenital insufficiency aortic valve
d_74685,coronary artery anomaly
d_74689,specified congenital anomalies heart
d_7469,unspecified congenital anomaly heart
d_7470,patent ductus arteriosus
d_74710,coarctation aorta preductal postductal
d_74721,anomalies aortic arch
d_74742,partial anomalous pulmonary venous connection
d_74761,gastrointestinal vessel anomaly
d_74781,anomalies cerebrovascular system
d_74783,persistent fetal circulation
d_7483,anomalies larynx trachea bronchus
d_74860,anomaly lung unspecified
d_74900,cleft palate unspecified
d_7503,tracheoesophageal fistula esophageal atresia stenosis
d_7504,specified anomalies esophagus
d_7511,atresia stenosis small intestine
d_7512,atresia stenosis large intestine rectum anal canal
d_7513,hirschsprungs disease congenital functional disorders
d_7514,anomalies intestinal fixation
d_75162,congenital cystic disease liver
d_7517,anomalies pancreas
d_75251,undescended testis
d_75261,hypospadias
d_7530,renal agenesis dysgenesis
d_75310,cystic kidney disease unspecified
d_75312,polycystic kidney unspecified type
d_75319,specified cystic kidney disease
d_75329,obstructive defects renal pelvis ureter
d_7533,specified anomalies kidney
d_75481,pectus excavatum
d_75559,anomalies upper limb including shoulder girdle
d_7560,anomalies skull face bones
d_75619,anomalies spine
d_75651,osteogenesis imperfecta
d_75679,congenital anomalies abdominal wall
d_75683,ehlers-danlos syndrome
d_75689,specified anomalies muscle tendon fascia connect
d_75732,vascular hamartomas
d_75733,congenital pigmentary anomalies skin
d_75739,specified anomalies skin
d_7580,downs syndrome
d_7585,conditions due autosomal anomalies
d_7596,hamartoses elsewhere
d_75981,prader-willi syndrome
d_75982,marfan syndrome
d_75989,specified congenital anomalies
d_7599,congenital anomaly unspecified
d_76072,narcotics affecting fetus newborn via placenta breast milk
d_76075,cocaine affecting fetus newborn via placenta breast milk
d_76079,noxious influences affecting fetus newborn via placenta
d_762,local excision destruction lesion facial bone
d_7636,precipitate delivery affecting fetus newborn
d_7643,reconstruction mandible
d_76512,preterm infants grams
d_76519,preterm infants grams over
d_76521,less completed weeks gestation
d_76529,completed weeks gestation
d_7661,heavy-for-dates infants
d_76719,injuries scalp
d_7672,fracture clavicle due birth trauma
d_7672,open reduction malar zygomatic fracture
d_7674,open reduction maxillary fracture
d_7675,closed reduction mandibular fracture
d_7676,open reduction mandibular fracture
d_7676,injury brachial plexus due birth trauma
d_7679,open reduction facial fracture
d_769,respiratory distress syndrome newborn
d_7692,insertion synthetic implant facial bone
d_77012,meconium aspiration respiratory symptoms
d_7702,interstitial emphysema related conditions
d_7703,pulmonary hemorrhage
d_7704,primary atelectasis
d_7705,unspecified atelectasis
d_7706,transitory tachypnea newborn
d_7707,chronic respiratory disease arising perinatal period
d_77081,primary apnea newborn
d_77082,apnea newborn
d_77084,respiratory failure newborn
d_77089,respiratory problems birth
d_7716,neonatal conjunctivitis dacryocystitis
d_77181,septicemia sepsis newborn
d_77183,bacteremia newborn
d_77210,intraventricular hemorrhage unspecified grade
d_77211,intraventricular hemorrhage grade i
d_77212,intraventricular hemorrhage grade ii
d_77213,intraventricular hemorrhage grade iii
d_77214,intraventricular hemorrhage grade iv
d_7724,gastrointestinal hemorrhage fetus newborn
d_7726,cutaneous hemorrhage fetus newborn
d_7728,specified hemorrhage fetus newborn
d_7731,hemolytic disease fetus newborn due abo isoimmunization
d_7731,division bone scapula clavicle thorax ribs
d_7732,hemolytic disease fetus newborn due unspecifi
d_7742,neonatal jaundice associated preterm delivery
d_7745,biopsy bone femur
d_7746,unspecified fetal neonatal jaundice
d_7747,biopsy bone tibia fibula
d_7748,biopsy bone tarsals metatarsals
d_7749,biopsy bone bones
d_7750,syndrome infant diabetic mother
d_7755,transitory neonatal electrolyte disturbances
d_7756,neonatal hypoglycemia
d_7757,late metabolic acidosis newborn
d_7761,local excision lesion tissue bone scapula clavicle
d_7761,transient neonatal thrombocytopenia
d_7764,polycythemia neonatorum
d_7765,congenital anemia
d_7765,local excision lesion tissue bone femur
d_7766,anemia prematurity
d_7767,local excision lesion tissue bone tibia fibula
d_7767,transient neonatal neutropenia
d_7768,local excision lesion tissue bone tarsals metatars
d_7769,local excision lesion tissue bone bones
d_7771,excision bone graft scapula clavicle thorax ribs
d_7771,meconium obstruction fetus newborn
d_7776,perinatal intestinal perforation
d_7777,excision bone graft tibia fibula
d_7778,specified perinatal disorders digestive system
d_7779,excision bone graft bones
d_7780,hydrops fetalis due isoimmunization
d_7781,partial ostectomy scapula clavicle thorax ribs
d_7783,hypothermia newborn
d_7784,disturbances temperature regulation newborn
d_7785,partial ostectomy femur
d_7786,congenital hydrocele
d_7787,partial ostectomy tibia fibula
d_7788,partial ostectomy tarsals metatarsals
d_7788,specified conditions involving integument fetus
d_7789,partial ostectomy bones
d_7790,convulsions newborn
d_77981,neonatal bradycardia
d_77989,specified conditions originating perinatal period
d_7799,total ostectomy bones
d_78001,coma
d_78003,persistent vegetative state
d_78009,alteration consciousness
d_7801,hallucinations
d_7802,syncope collapse
d_78033,post traumatic seizures
d_78039,convulsions
d_7804,dizziness giddiness
d_78050,sleep disturbance unspecified
d_78052,insomnia unspecified
d_78057,unspecified sleep apnea
d_78059,sleep disturbances
d_78060,fever unspecified
d_78061,fever presenting conditions elsewhere
d_78062,postprocedural fever
d_78065,hypothermia associated low environmental temperature
d_7807,bone graft tibia fibula
d_78071,chronic fatigue syndrome
d_78079,malaise fatigue
d_7809,bone graft bones
d_78093,memory loss
d_78097,altered mental status
d_78099,general symptoms
d_7810,abnormal involuntary movements
d_7812,application external fixator device humerus
d_7812,abnormality gait
d_7813,lack coordination
d_7813,application external fixator device radius ulna
d_7816,meningismus
d_7817,application external fixator device tibia fibula
d_7818,neurologic neglect syndrome
d_7818,application external fixator device tarsals metatarsals
d_78194,facial weakness
d_78199,symptoms involving nervous musculoskeletal systems
d_7820,disturbance skin sensation
d_7821,rash nonspecific skin eruption
d_7823,edema
d_7824,jaundice unspecified newborn
d_7825,cyanosis
d_7827,spontaneous ecchymoses
d_7830,anorexia
d_7831,abnormal weight gain
d_78321,loss weight
d_7833,feeding difficulties mismanagement
d_78340,lack normal physiological development unspecified
d_7835,polydipsia
d_7836,polyphagia
d_7837,adult failure thrive
d_7840,headache
d_7841,repair plastic operations bone scapula clavicle
d_7842,swelling mass lump head neck
d_7843,aphasia
d_78441,aphonia
d_78442,dysphonia
d_78449,voice resonance disorders
d_78451,dysarthria
d_78459,speech disturbance
d_78469,symbolic dysfunction
d_7847,repair plastic operations bone tibia fibula
d_7847,epistaxis
d_7850,tachycardia unspecified
d_7851,palpitations
d_7851,internal fixation bone fracture reduction scapula
d_7852,undiagnosed cardiac murmurs
d_7854,gangrene
d_78550,shock unspecified
d_78551,cardiogenic shock
d_78552,septic shock
d_78559,shock mention trauma
d_7856,enlargement lymph nodes
d_7859,internal fixation bone fracture reduction bone
d_7859,symptoms involving cardiovascular system
d_78603,apnea
d_78604,cheyne-stokes respiration
d_78605,shortness breath
d_78606,tachypnea
d_78607,wheezing
d_78609,respiratory abnormalities
d_7861,removal implanted devices bone scapula clavicle
d_7861,stridor
d_7862,cough
d_7863,removal implanted devices bone radius ulna
d_78630,hemoptysis unspecified
d_78639,hemoptysis
d_7864,abnormal sputum
d_7865,removal implanted devices bone femur
d_78650,chest pain unspecified
d_78652,painful respiration
d_78659,chest pain
d_7866,swelling mass lump chest
d_7867,removal implanted devices bone tibia fibula
d_7868,hiccough
d_7868,removal implanted devices bone tarsals metatarsals
d_7869,removal implanted devices bone bones
d_78701,nausea vomiting
d_78702,nausea alone
d_78703,vomiting alone
d_78720,dysphagia unspecified
d_78721,dysphagia oral phase
d_78722,dysphagia oropharyngeal phase
d_78723,dysphagia pharyngeal phase
d_78729,dysphagia
d_7873,flatulence eructation gas pain
d_78760,full incontinence feces
d_78791,diarrhea
d_78799,symptoms involving digestive system
d_7881,dysuria
d_78820,retention urine unspecified
d_78821,incomplete bladder emptying
d_78829,specified retention urine
d_78830,urinary incontinence unspecified
d_78831,urge incontinence
d_78838,overflow incontinence
d_78839,urinary incontinence
d_78841,urinary frequency
d_78843,nocturia
d_7885,oliguria anuria
d_78899,symptoms involving urinary system
d_78900,abdominal pain unspecified site
d_78901,abdominal pain right upper quadrant
d_78903,abdominal pain right lower quadrant
d_78904,abdominal pain left lower quadrant
d_78906,abdominal pain epigastric
d_78907,abdominal pain generalized
d_78909,abdominal pain specified site
d_7892,splenomegaly
d_78939,abdominal pelvic swelling mass lump specified sit
d_78951,malignant ascites
d_78959,ascites
d_79001,precipitous drop hematocrit
d_79029,abnormal glucose
d_7904,closed reduction fracture internal fixation phalange
d_7904,nonspecific elevation levels transaminase lactic acid
d_7905,closed reduction fracture internal fixation femur
d_7905,nonspecific abnormal serum enzyme levels
d_7906,closed reduction fracture internal fixation tibia
d_7906,abnormal blood chemistry
d_7907,bacteremia
d_7908,viremia unspecified
d_7909,closed reduction fracture internal fixation sp
d_79092,abnormal coagulation profile
d_79093,elevated prostate specific antigen psa
d_79094,euthyroid sick syndrome
d_79099,nonspecific findings examination blood
d_7910,proteinuria
d_7911,closed reduction fracture internal fixation humerus
d_7916,closed reduction fracture internal fixation tibia f
d_7917,closed reduction fracture internal fixation tarsals
d_7919,nonspecific findings examination urine
d_7919,closed reduction fracture internal fixation speci
d_7921,nonspecific abnormal findings stool contents
d_7931,open reduction fracture internal fixation humerus
d_79311,solitary pulmonary nodule
d_79319,nonspecific abnormal finding lung field
d_7932,open reduction fracture internal fixation radius ul
d_7933,open reduction fracture internal fixation carpals
d_7934,open reduction fracture internal fixation phalanges
d_7935,open reduction fracture internal fixation femur
d_7936,open reduction fracture internal fixation tibia fib
d_7939,open reduction fracture internal fixation specifi
d_79415,nonspecific abnormal auditory function studies
d_79431,nonspecific abnormal electrocardiogram ecg ekg
d_7945,nonspecific abnormal results function study thyroid
d_7948,nonspecific abnormal results function study liver
d_79551,nonspecific reaction tuberculin skin test active tube
d_79579,unspecified nonspecific immunological findings
d_7960,nonspecific abnormal toxicological findings
d_7962,debridement open fracture site radius ulna
d_7962,elevated blood pressure reading diagnosis hypertensio
d_7963,debridement open fracture site carpals metacarpals
d_7963,nonspecific low blood pressure reading
d_7964,debridement open fracture site phalanges hand
d_7964,abnormal clinical findings
d_7966,debridement open fracture site tibia fibula
d_7967,debridement open fracture site tarsals metatarsals
d_7969,debridement open fracture site specified bone
d_7974,closed reduction dislocation hand finger
d_7975,closed reduction dislocation hip
d_79902,hypoxemia
d_7991,respiratory arrest
d_7993,debility unspecified
d_7994,cachexia
d_79989,ill-defined conditions
d_80001,closed fracture vault skull mention intracrania
d_8005,arthrotomy removal prosthesis replacement hip
d_8006,arthrotomy removal prosthesis replacement knee
d_80102,closed fracture base skull mention intra crania
d_8011,arthrotomy shoulder
d_8013,arthrotomy wrist
d_8015,arthrotomy hip
d_8016,arthrotomy knee
d_80176,open fracture base skull subarachnoid subdural
d_8020,closed fracture nasal bones
d_8021,open fracture nasal bones
d_8021,arthroscopy shoulder
d_80220,closed fracture mandible unspecified site
d_80221,closed fracture mandible condylar process
d_80222,closed fracture mandible subcondylar
d_80224,closed fracture mandible ramus unspecified
d_80228,closed fracture mandible body unspecified
d_80229,closed fracture mandible multiple sites
d_8024,closed fracture malar maxillary bones
d_8025,open fracture malar maxillary bones
d_8026,closed fracture orbital floor blow-out
d_8027,open fracture orbital floor blow-out
d_8028,closed fracture facial bones
d_80315,closed skull fracture cerebral laceration contusi
d_80502,closed fracture second cervical vertebra
d_80504,closed fracture fourth cervical vertebra
d_80505,closed fracture fifth cervical vertebra
d_80506,closed fracture sixth cervical vertebra
d_80507,closed fracture seventh cervical vertebra
d_80508,closed fracture multiple cervical vertebrae
d_8051,excision intervertebral disc
d_8052,closed fracture dorsal thoracic vertebra mention
d_8054,closed fracture lumbar vertebra mention spinal cor
d_8056,closed fracture sacrum coccyx mention spinal
d_806,excision semilunar cartilage knee
d_80608,closed fracture level central cord syndrome
d_80620,closed fracture level unspecified spinal cord inju
d_80625,closed fracture level unspecified spinal cord inj
d_80629,closed fracture level specified spinal cord
d_8064,closed fracture lumbar spine spinal cord injury
d_80700,closed fracture ribs unspecified
d_80701,closed fracture rib
d_80702,closed fracture two ribs
d_80703,closed fracture three ribs
d_80704,closed fracture four ribs
d_80705,closed fracture five ribs
d_80706,closed fracture six ribs
d_80708,closed fracture eight ribs
d_80709,closed fracture multiple ribs unspecified
d_8072,closed fracture sternum
d_8075,closed fracture larynx trachea
d_8076,synovectomy knee
d_8080,closed fracture acetabulum
d_8081,local excision destruction lesion joint shoulder
d_8082,closed fracture pubis
d_8083,open fracture pubis
d_8083,local excision destruction lesion joint wrist
d_80841,closed fracture ilium
d_80843,multiple closed pelvic fractures disruption pelvic circl
d_8085,local excision destruction lesion joint hip
d_8086,local excision destruction lesion joint knee
d_8088,closed unspecified fracture pelvis
d_8089,open unspecified fracture pelvis
d_8099,excision joint specified sites
d_81000,closed fracture clavicle unspecified part
d_81001,closed fracture sternal end clavicle
d_81002,closed fracture shaft clavicle
d_81003,closed fracture acromial end clavicle
d_8101,atlas-axis spinal fusion
d_8102,cervical fusion anterior column anterior technique
d_8103,cervical fusion posterior column posterior techniq
d_8104,dorsal dorsolumbar fusion anterior column anterior
d_8105,dorsal dorsolumbar fusion posterior column posterior
d_8106,lumbar lumbosacral fusion anterior column anterior
d_8107,lumbar lumbosacral fusion posterior column posterior
d_8108,lumbar lumbosacral fusion anterior column posterior
d_81100,closed fracture scapula unspecified part
d_81101,closed fracture acromial process scapula
d_81103,closed fracture glenoid cavity neck scapula
d_81109,closed fracture scapula
d_8113,subtalar fusion
d_81200,closed fracture unspecified part upper end humerus
d_81201,closed fracture surgical neck humerus
d_81209,closed fracture upper end humerus
d_81220,closed fracture unspecified part humerus
d_81221,closed fracture shaft humerus
d_81240,closed fracture unspecified part lower end humerus
d_81301,closed fracture olecranon process ulna
d_8132,refusion cervical spine anterior column anterior tech
d_81321,closed fracture shaft radius alone
d_81332,open fracture shaft ulna alone
d_81341,closed colles fracture
d_81342,closed fractures distal end radius alone
d_81344,closed fracture lower end radius ulna
d_8137,refusion lumbar lumbosacral spine posterior column post
d_8138,refusion lumbar lumbosacral spine anterior column poste
d_81500,closed fracture metacarpal bones site unspecified
d_81502,closed fracture base metacarpal bones
d_8151,total hip replacement
d_8152,partial hip replacement
d_8154,total knee replacement
d_81600,closed fracture phalanx phalanges hand unspecified
d_81601,closed fracture middle proximal phalanx phalanges ha
d_81602,closed fracture distal phalanx phalanges hand
d_81611,open fracture middle proximal phalanx phalanges hand
d_8164,fusion refusion vertebrae
d_8165,percutaneous vertebroplasty
d_8181,partial shoulder replacement
d_8191,arthrocentesis
d_8192,injection therapeutic substance joint ligament
d_82009,closed transcervical fracture neck femur
d_82020,closed fracture trochanteric section neck femur
d_82021,closed fracture intertrochanteric section neck femur
d_82022,closed fracture subtrochanteric section neck femur
d_8208,closed fracture unspecified part neck femur
d_82101,closed fracture shaft femur
d_82120,closed fracture lower end femur unspecified part
d_82121,closed fracture condyle femoral
d_82123,closed supracondylar fracture femur
d_82130,open fracture lower end femur unspecified part
d_8220,closed fracture patella
d_82300,closed fracture upper end tibia alone
d_82301,closed fracture upper end fibula alone
d_82302,closed fracture upper end fibula tibia
d_82320,closed fracture shaft tibia alone
d_82321,closed fracture shaft fibula alone
d_82322,closed fracture shaft fibula tibia
d_82332,open fracture shaft fibula tibia
d_8236,myectomy hand
d_82382,closed fracture unspecified part fibula tibia
d_82392,open fracture unspecified part fibula tibia
d_8240,fracture medial malleolus closed
d_8241,fracture medial malleolus open
d_8242,fracture lateral malleolus closed
d_8244,bimalleolar fracture closed
d_8244,suture flexor tendon hand
d_8245,bimalleolar fracture open
d_8245,suture tendon hand
d_8248,unspecified fracture ankle closed
d_82525,closed fracture metatarsal bones
d_82531,open fracture astragalus
d_8260,closed fracture phalanges foot
d_8300,closed dislocation jaw
d_8309,incision soft tissue
d_8313,tenotomy
d_8314,fasciotomy
d_8321,open biopsy soft tissue
d_8332,excision lesion muscle
d_8339,excision lesion soft tissue
d_83402,closed dislocation interphalangeal joint hand
d_8342,tenonectomy
d_8343,excision muscle fascia graft
d_8344,fasciectomy
d_8345,myectomy
d_8349,excision soft tissue
d_8365,suture muscle fascia
d_8382,graft muscle fascia
d_8385,change muscle tendon length
d_83901,closed dislocation first cervical vertebra
d_83905,closed dislocation fifth cervical vertebra
d_83908,closed dislocation multiple cervical vertebrae
d_8395,aspiration soft tissue
d_8401,amputation disarticulation finger
d_8411,amputation toe
d_8412,amputation through foot
d_8415,amputation below knee
d_8417,amputation above knee
d_843,revision amputation stump
d_8451,insertion interbody spinal fusion device
d_8452,insertion recombinant bone morphogenetic protein
d_8456,insertion replacement cement spacer
d_8470,sprain neck
d_8472,application external fixator device ring system
d_85011,concussion loss consciousness minutes less
d_85101,cortex cerebral contusion mention open intracranial
d_85185,unspecified cerebral laceration contusion
d_8600,traumatic pneumothorax mention open wound thorax
d_8601,traumatic pneumothorax open wound thorax
d_8601,aspiration skin subcutaneous tissue
d_8602,traumatic hemothorax mention open wound thorax
d_8603,traumatic hemothorax open wound thorax
d_8604,traumatic pneumohemothorax mention open wound th
d_8604,incision drainage skin subcutaneous tissue
d_8605,incision removal foreign body device skin su
d_8605,traumatic pneumohemothorax open wound thorax
d_8607,insertion totally implantable vascular access device vad
d_8609,incision skin subcutaneous tissue
d_86101,contusion heart mention open wound thorax
d_8611,closed biopsy skin subcutaneous tissue
d_86121,contusion lung mention open wound thorax
d_86122,laceration lung mention open wound thorax
d_86131,contusion lung open wound thorax
d_8620,injury diaphragm mention open wound cavity
d_8621,injury diaphragm open wound cavity
d_8622,excisional debridement wound infection burn
d_86222,injury esophagus mention open wound cavity
d_86229,injury specified intrathoracic organs mention
d_8627,debridement nail nail bed nail fold
d_8628,nonexcisional debridement wound infection burn
d_863,local excision destruction lesion tissue skin
d_8630,injury stomach mention open wound cavity
d_86321,injury duodenum open wound cavity
d_86329,injury small intestine mention open wound i
d_86345,injury rectum mention open wound cavity
d_86389,injury gastrointestinal sites mention open
d_864,radical excision skin lesion
d_86401,injury liver mention open wound cavity hemat
d_86404,injury liver mention open wound cavity lacer
d_86405,injury liver mention open wound cavity lacera
d_86415,injury liver open wound cavity laceration unspeci
d_86500,injury spleen mention open wound cavity unsp
d_86501,injury spleen mention open wound cavity hema
d_86502,injury spleen mention open wound cavity caps
d_86503,injury spleen mention open wound cavity lace
d_86504,injury spleen mention open wound cavity mass
d_8659,closure skin subcutaneous tissue sites
d_86600,injury kidney mention open wound cavity unsp
d_86601,injury kidney mention open wound cavity hema
d_86602,injury kidney mention open wound cavity lace
d_8662,skin graft hand
d_8663,full-thickness skin graft sites
d_8667,dermal regenerative graft
d_8669,skin graft sites
d_8670,injury bladder urethra mention open wound int
d_8672,advancement pedicle graft
d_8672,injury ureter mention open wound cavity
d_8673,attachment pedicle flap graft hand
d_8674,attachment pedicle flap graft sites
d_8676,injury specified pelvic organs mention open
d_86809,injury multiple intra-abdominal organs ment
d_8683,size reduction plastic operation
d_8700,laceration skin eyelid periocular area
d_8703,computerized axial tomography head
d_8708,specified open wounds ocular adnexa
d_87200,open wound external ear unspecified site mention
d_8721,contrast myelogram
d_8730,open wound scalp mention complication
d_8731,open wound scalp complicated
d_87320,open wound nose unspecified site mention complic
d_87341,open wound cheek mention complication
d_87342,open wound forehead mention complication
d_87343,open wound lip mention complication
d_87344,open wound jaw mention complication
d_87349,open wound multiple sites face mention
d_87359,open wound multiple sites face complicated
d_87363,open wound tooth broken fractured due trauma withou
d_87364,open wound tongue floor mouth mention comp
d_8738,unspecified open wound head mention comp
d_87402,open wound trachea mention complication
d_8741,computerized axial tomography thorax
d_8744,open wound pharynx mention complication
d_8744,routine chest x-ray so described
d_8751,percutaneous hepatic cholangiogram
d_8753,intraoperative cholangiogram
d_8754,cholangiogram
d_8761,barium swallow
d_8774,retrograde pyelogram
d_8775,percutaneous pyelogram
d_8777,cystogram
d_8796,open wound unspecified parts trunk ment
d_8798,open wounds multiple unspecified sites mention
d_8801,computerized axial tomography abdomen
d_8803,sinogram abdominal wall
d_88100,open wound forearm mention complication
d_88101,open wound elbow mention complication
d_88102,open wound wrist mention complication
d_88111,open wound elbow complicated
d_88122,open wound wrist tendon involvement
d_8814,retroperitoneal fistulogram
d_8820,open wound hand except fingers alone mention co
d_8840,multiple unspecified open wound upper limb menti
d_8841,arteriography cerebral arteries
d_8842,aortography
d_8843,arteriography pulmonary arteries
d_8844,arteriography intrathoracic vessels
d_8845,arteriography renal arteries
d_8847,arteriography intra-abdominal arteries
d_8848,arteriography femoral lower extremity arteries
d_8849,arteriography specified sites
d_8851,angiocardiography venae cavae
d_8852,angiocardiography right heart structures
d_8853,angiocardiography left heart structures
d_8854,combined right left heart angiocardiography
d_8855,coronary arteriography using single catheter
d_8856,coronary arteriography using two catheters
d_8857,unspecified coronary arteriography
d_8860,traumatic amputation fingers complete partial wi
d_8861,phlebography veins head neck using contrast material
d_8863,phlebography intrathoracic veins using contrast materia
d_8864,phlebography portal venous system using contrast material
d_8865,phlebography intra-abdominal veins using contrast mater
d_8866,phlebography femoral lower extremity veins using co
d_8867,phlebography specified sites using contrast material
d_8872,diagnostic ultrasound heart
d_8873,diagnostic ultrasound sites thorax
d_8874,diagnostic ultrasound digestive system
d_8876,diagnostic ultrasound abdomen retroperitoneum
d_8877,diagnostic ultrasound peripheral vascular system
d_8891,magnetic resonance imaging brain brain stem
d_8901,open wound hip thigh complicated
d_8910,open wound knee leg except thigh ankle menti
d_8911,open wound knee leg except thigh ankle complicated
d_8912,open wound knee leg except thigh ankle tendon i
d_8914,electroencephalogram
d_8919,video radio-telemetered electroencephalographic monitoring
d_8920,open wound foot except toes alone mention compl
d_8945,artificial pacemaker rate check
d_8949,automatic implantable cardioverterdefibrillator aicd check
d_8952,electrocardiogram
d_8959,nonoperative cardiac vascular measurements
d_8960,continuous intra-arterial blood gas monitoring
d_8961,systemic arterial pressure monitoring
d_8962,central venous pressure monitoring
d_8964,pulmonary artery wedge monitoring
d_8968,monitoring cardiac output technique
d_90082,injury multiple blood vessels head neck
d_90089,injury specified blood vessels head neck
d_9010,injury thoracic aorta
d_90241,injury renal artery
d_90289,injury specified blood vessels abdomen pelvis
d_9031,injury brachial blood vessels
d_9032,injury radial blood vessels
d_9035,injury digital blood vessels
d_90441,injury popliteal artery
d_9047,injury specified blood vessels lower extremity
d_9053,late effect fracture neck femur
d_9054,late effect fracture lower extremities
d_9064,late effect crushing
d_9070,late effect intracranial injury mention skull frac
d_9072,late effect spinal cord injury
d_9089,late effect unspecified injury
d_9092,late effect radiation
d_9093,late effect complications surgical medical care
d_9100,abrasion friction burn face neck scalp except eye
d_9130,abrasion friction burn elbow forearm wrist
d_9160,abrasion friction burn hip thigh leg ankle
d_9181,superficial injury cornea
d_9190,abrasion friction burn multiple unspecified si
d_920,contusion face scalp neck except eyes
d_9210,black eye otherwise specified
d_9211,contusion eyelids periocular area
d_9212,contusion orbital tissues
d_9213,contusion eyeball
d_9221,contusion chest wall
d_9222,contusion abdominal wall
d_92232,contusion buttock
d_9224,teleradiotherapy using photons
d_9227,implantation insertion radioactive elements
d_9229,radiotherapeutic procedure
d_9230,stereotactic radiosurgery otherwise specified
d_92303,contusion upper arm
d_92400,contusion thigh
d_92410,contusion lower leg
d_92411,contusion knee
d_92619,crushing injury specified sites trunk
d_92720,crushing injury hands
d_9331,foreign body larynx
d_9340,foreign body trachea
d_9341,foreign body main bronchus
d_9341,spinal traction using skull device
d_9344,skeletal traction
d_9348,foreign body specified parts bronchus lung
d_9349,foreign body respiratory tree unspecified
d_9351,foreign body esophagus
d_9352,foreign body stomach
d_9353,application cast
d_9354,application splint
d_9356,application pressure dressing
d_9357,application wound dressing
d_9359,immobilization pressure attention wound
d_936,foreign body intestine colon
d_9390,non-invasive mechanical ventilation
d_9396,oxygen enrichment
